  Year     Age       Female        Male        Total
  1899      0        64059        79768       143827
  1899      1        12119        12822        24941
  1899      2         6983         7014        13997
  1899      3         4329         4470         8799
  1899      4         3220         3111         6331
  1899      5         2284         2222         4506
  1899      6         1834         1773         3607
  1899      7         1475         1460         2935
  1899      8         1353         1296         2649
  1899      9         1175         1180         2355
  1899     10         1175         1051         2226
  1899     11         1162         1050         2212
  1899     12         1100         1011         2111
  1899     13         1251          987         2238
  1899     14         1373         1137         2510
  1899     15         1535         1230         2765
  1899     16         1693         1493         3186
  1899     17         1871         1795         3666
  1899     18         1986         1982         3968
  1899     19         1959         2043         4002
  1899     20         2187         2364         4551
  1899     21         2193         2724         4917
  1899     22         2377         2936         5313
  1899     23         2370         2601         4971
  1899     24         2291         2568         4859
  1899     25         2390         2291         4681
  1899     26         2393         2460         4853
  1899     27         2135         2191         4326
  1899     28         2201         2183         4384
  1899     29         2151         2139         4290
  1899     30         2250         2314         4564
  1899     31         2116         2277         4393
  1899     32         2383         2552         4935
  1899     33         2277         2506         4783
  1899     34         2261         2536         4797
  1899     35         2385         2605         4990
  1899     36         2392         2844         5236
  1899     37         2322         2710         5032
  1899     38         2437         2841         5278
  1899     39         2297         2711         5008
  1899     40         2406         3121         5527
  1899     41         2054         2710         4764
  1899     42         2309         2995         5304
  1899     43         2296         2860         5156
  1899     44         2207         2899         5106
  1899     45         2403         3153         5556
  1899     46         2416         3232         5648
  1899     47         2493         3263         5756
  1899     48         2761         3602         6363
  1899     49         2673         3397         6070
  1899     50         2974         3732         6706
  1899     51         2786         3401         6187
  1899     52         2997         3885         6882
  1899     53         3130         3847         6977
  1899     54         3161         4217         7378
  1899     55         3416         4323         7739
  1899     56         3679         4512         8191
  1899     57         3769         4722         8491
  1899     58         4126         5067         9193
  1899     59         3944         4921         8865
  1899     60         4673         5542        10215
  1899     61         4274         5050         9324
  1899     62         4959         5575        10534
  1899     63         5345         5904        11249
  1899     64         5547         6042        11589
  1899     65         5905         6257        12162
  1899     66         5955         6232        12187
  1899     67         6125         6402        12527
  1899     68         6793         7083        13876
  1899     69         6865         7173        14038
  1899     70         7656         7508        15164
  1899     71         6991         7298        14289
  1899     72         8007         8059        16066
  1899     73         7708         7756        15464
  1899     74         7757         7781        15538
  1899     75         8160         7851        16011
  1899     76         7821         7158        14979
  1899     77         7339         6979        14318
